rank,accuracy,error,level,folds,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,level_10,iteration
0.9646333333333345,0.27666666666666667,0.09325555555555576,0,0,1.0,,,,,,,,,,,10
0.9646333333333345,0.27666666666666667,0.09325555555555576,1,0,0.9999999999999999,5.551115123125783e-17,,,,,,,,,,10
0.9646333333333345,0.27666666666666667,0.09325555555555576,2,0,0.9999999999999997,5.551115123125783e-16,0.0,,,,,,,,,10
0.9646333333333345,0.27666666666666667,0.09325555555555576,3,0,0.9999999999999949,1.4155343563970746e-15,2.4980018054066022e-15,1.0269562977782698e-15,,,,,,,,10
0.9646333333333345,0.27666666666666667,0.09325555555555576,4,0,1.0,6.994405055138486e-15,0.0,0.0,0.0,,,,,,,10
0.9998777777777779,0.013333333333333334,0.49174444444444454,5,0,0.1940465934428948,0.1611809640106126,0.16122096286495552,0.16110955395162613,0.1612209628649555,0.16122096286495552,,,,,,10
0.9999777777777777,0.01,0.4851333333333333,6,0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,,,,,10
1.0,0.0033333333333333335,0.4983333333333334,7,0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,,,,10
1.0,0.0033333333333333335,0.4983333333333334,8,0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,,,10
1.0,0.0033333333333333335,0.4983333333333334,9,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,10
1.0,0.0033333333333333335,0.4983333333333334,10,0,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,10
0.9655777777777788,0.2733333333333333,0.08810000000000015,0,1,1.0,,,,,,,,,,,10
0.9655777777777788,0.2733333333333333,0.08810000000000015,1,1,0.9999999999999997,7.216449660063518e-16,,,,,,,,,,10
0.9655777777777788,0.2733333333333333,0.08810000000000015,2,1,0.9999999999999999,5.551115123125783e-17,0.0,,,,,,,,,10
0.9655777777777788,0.2733333333333333,0.08810000000000015,3,1,1.0,4.399258735077183e-15,0.0,0.0,,,,,,,,10
0.9477333333333342,0.013333333333333334,0.31074444444444443,4,1,0.325087579662191,0.012131052898717071,0.5367940367119499,0.125985665079729,1.6656474133647967e-06,,,,,,,10
0.9992111111111115,0.006666666666666667,0.4850555555555555,5,1,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,,,,,,10
0.9998333333333335,0.01,0.4754111111111111,6,1,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,,,,,10
1.0,0.0033333333333333335,0.4983333333333334,7,1,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,,,,10
1.0,0.0033333333333333335,0.4983333333333334,8,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,,,10
1.0,0.0033333333333333335,0.4983333333333334,9,1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,10
1.0,0.0033333333333333335,0.4983333333333334,10,1,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,10
