rank,accuracy,error,level,folds,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,level_10,iteration
0.9135488754325268,0.14338235294117646,0.16544117647058812,0,0,1.0,,,,,,,,,,,10
0.9135488754325268,0.14338235294117646,0.16544117647058812,1,0,0.9999999999999997,1.942890293094024e-16,,,,,,,,,,10
0.9135488754325268,0.14338235294117646,0.16544117647058812,2,0,0.9999999999939064,5.533906666244093e-12,5.594968932598476e-13,,,,,,,,,10
0.8738916522491342,0.003676470588235294,0.333869485294118,3,0,0.2500134529622991,0.2500215971323008,0.24998648671051568,0.24997846319488437,,,,,,,,10
0.8476292171280281,0.07352941176470588,0.2500405493079582,4,0,0.804289426804091,0.19571057319588417,7.73558344794147e-15,2.247044154343519e-15,1.4664443399555523e-14,,,,,,,10
1.0,0.003676470588235294,0.49816176470588236,5,0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,,,,,,10
1.0,0.003676470588235294,0.49816176470588236,6,0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,,,,,10
1.0,0.003676470588235294,0.49816176470588236,7,0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,,,,10
1.0,0.003676470588235294,0.49816176470588236,8,0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,,,10
1.0,0.003676470588235294,0.49816176470588236,9,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,10
1.0,0.003676470588235294,0.49816176470588236,10,0,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,10
0.9132920631487899,0.13602941176470587,0.1920685553633215,0,1,1.0,,,,,,,,,,,10
0.9132920631487899,0.13602941176470587,0.1920685553633215,1,1,0.9999999999999999,0.0,,,,,,,,,,10
0.9132920631487899,0.13602941176470587,0.1920685553633215,2,1,1.0,0.0,0.0,,,,,,,,,10
0.9109942690311429,0.12867647058823528,0.19790765570934218,3,1,0.8758824885587737,0.12411751144124984,1.9527404272945086e-15,7.988155365369349e-18,,,,,,,,10
0.9533547794117647,0.08088235294117647,0.3563473183391002,4,1,1.0,0.0,0.0,0.0,1.734723475976807e-17,,,,,,,10
1.0,0.003676470588235294,0.49816176470588236,5,1,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,,,,,,10
1.0,0.003676470588235294,0.49816176470588236,6,1,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,,,,,10
1.0,0.003676470588235294,0.49816176470588236,7,1,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,,,,10
1.0,0.003676470588235294,0.49816176470588236,8,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,,,10
1.0,0.003676470588235294,0.49816176470588236,9,1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,10
1.0,0.003676470588235294,0.49816176470588236,10,1,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,10
