rank,accuracy,error,level,folds,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,level_10,iteration
0.5724062499999999,0.0225,0.28459999999999996,0,0,1.0,,,,,,,,,,,10
0.5718687499999998,0.01,0.3238249999999997,1,0,0.5152859792539269,0.484714020746073,,,,,,,,,,10
0.5749875,0.0075,0.31993124999999983,2,0,0.4062150068907853,0.561277729210901,0.03250726389831384,,,,,,,,,10
0.5907312500000002,0.0025,0.3207749999999997,3,0,0.16402251066919626,0.5523881137528526,0.27400664395056573,0.009582731627385613,,,,,,,,10
0.9249250000000002,0.0,0.4427937499999998,4,0,0.22665734801304344,0.027240894080261396,0.40790963848951756,0.1398710282018695,0.1983210912153081,,,,,,,10
0.9999875,0.005,0.49625625000000007,5,0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,,,,,,10
1.0,0.0025,0.4987500000000001,6,0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,,,,,10
1.0,0.0025,0.4987500000000001,7,0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,,,,10
1.0,0.0025,0.4987500000000001,8,0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,,,10
1.0,0.0025,0.4987500000000001,9,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,10
1.0,0.0025,0.4987500000000001,10,0,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,10
0.5745187500000006,0.015,0.27796874999999993,0,1,1.0,,,,,,,,,,,10
0.5755437500000006,0.015,0.27860624999999994,1,1,1.0,0.0,,,,,,,,,,10
0.5765687500000001,0.01,0.3276937500000001,2,1,0.2825049464983676,0.0,0.7174950535016325,,,,,,,,,10
0.57591875,0.0075,0.3279312500000001,3,1,0.15925540091581902,2.4976611988711546e-16,0.6200566079123179,0.22068799117186272,,,,,,,,10
0.8698750000000004,0.01,0.2909875000000002,4,1,0.4314017969233441,0.0,0.568598203076644,1.903568611441519e-14,0.0,,,,,,,10
0.99999375,0.0025,0.49626250000000005,5,1,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,,,,,,10
1.0,0.0025,0.4987500000000001,6,1,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,,,,,10
1.0,0.0025,0.4987500000000001,7,1,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,,,,10
1.0,0.0025,0.4987500000000001,8,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,,,10
1.0,0.0025,0.4987500000000001,9,1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,10
1.0,0.0025,0.4987500000000001,10,1,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,10
