rank,accuracy,error,level,folds,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,level_10,iteration
0.8118444444444447,0.11333333333333333,0.2166555555555556,0,0,1.0,,,,,,,,,,,10
0.8118444444444447,0.11333333333333333,0.2166555555555556,1,0,1.0,6.106226635438361e-16,,,,,,,,,,10
0.7944777777777777,0.02,0.2787333333333333,2,0,0.29835139655593845,0.687783546974172,0.013865056469889584,,,,,,,,,10
0.7934333333333334,0.02,0.27931111111111107,3,0,0.29396698787026343,0.6830527237027858,1.9077627192443353e-17,0.022980288426950764,,,,,,,,10
0.780822222222222,0.01,0.29318888888888894,4,0,0.22481684909424934,0.1983722014086173,0.10533768437002763,0.05555206379666277,0.4159212013304431,,,,,,,10
0.9992333333333336,0.006666666666666667,0.5039666666666669,5,0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,,,,,,10
1.0,0.0033333333333333335,0.4983333333333334,6,0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,,,,,10
1.0,0.0033333333333333335,0.4983333333333334,7,0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,,,,10
1.0,0.0033333333333333335,0.4983333333333334,8,0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,,,10
1.0,0.0033333333333333335,0.4983333333333334,9,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,10
1.0,0.0033333333333333335,0.4983333333333334,10,0,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,10
0.815555555555556,0.13333333333333333,0.23268888888888892,0,1,1.0,,,,,,,,,,,10
0.8141222222222229,0.12666666666666668,0.2248111111111111,1,1,0.9303411220219348,0.06965887797806519,,,,,,,,,,10
0.8019111111111111,0.016666666666666666,0.3088444444444441,2,1,0.4536858030351936,0.5463141969648065,1.4180178569984242e-17,,,,,,,,,10
0.8055000000000004,0.04,0.31387777777777787,3,1,0.642881760611577,0.11271354716876743,0.2444046922196558,1.7073244126715029e-18,,,,,,,,10
0.785422222222222,0.006666666666666667,0.30693333333333334,4,1,0.14189960214452657,0.3848657701914202,4.477070951061989e-18,0.022105178063912462,0.45112944960014073,,,,,,,10
0.9997555555555556,0.0033333333333333335,0.4918111111111111,5,1,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,,,,,,10
1.0,0.0033333333333333335,0.4983333333333334,6,1,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,,,,,10
1.0,0.0033333333333333335,0.4983333333333334,7,1,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,,,,10
1.0,0.0033333333333333335,0.4983333333333334,8,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,,,10
1.0,0.0033333333333333335,0.4983333333333334,9,1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,10
1.0,0.0033333333333333335,0.4983333333333334,10,1,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,10
